Number,Transaction
35,[2014-01-13 12:39:46] - Alex Galchenyuk was added to USA.
36,[2014-01-13 12:40:04] - Joe Pavelski was added to USA.
37,[2014-01-13 12:40:10] - Blake Wheeler was added to USA.
38,[2014-01-13 12:40:26] - Ryan Suter was added to USA.
39,[2014-01-13 12:40:34] - Ryan McDonagh was added to USA.
40,[2014-01-13 12:40:39] - Jack Johnson was added to USA.
41,[2014-01-13 12:40:44] - Cam Fowler was added to USA.
42,[2014-01-13 12:40:50] - Keith Yandle was added to USA.
43,[2014-01-13 12:41:02] - Erik Johnson was added to USA.
44,[2014-01-13 12:41:15] - David Backes was added to USA.
45,[2014-01-13 12:41:33] - Max Pacioretty was added to USA.
46,[2014-01-13 12:41:43] - James Wisniewski was added to USA.
47,[2014-01-13 12:41:55] - Kevin Shattenkirk was added to USA.
48,[2014-01-13 12:42:15] - Ryan Miller was added to USA.
49,[2014-01-13 12:42:46] - Jonathan Quick was added to USA.
50,[2014-01-13 12:43:12] - Cory Schneider was added to USA.
51,[2014-01-13 12:45:03] - Martin St-Louis was added to CANADA.
52,[2014-01-13 12:45:13] - Matt Duchene was added to CANADA.
53,[2014-01-13 12:45:31] - Mike Smith was added to CANADA.
54,[2014-01-13 12:46:00] - Sidney Crosby was added to CANADA.
55,[2014-01-13 12:46:23] - Steven Stamkos was added to CANADA.
56,[2014-01-13 12:46:37] - Shea Weber was added to CANADA.
57,[2014-01-13 12:46:58] - Carey Price was added to CANADA.
58,[2014-01-13 12:47:15] - Corey Perry was added to CANADA.
59,[2014-01-13 12:47:25] - Claude Giroux was added to CANADA.
60,[2014-01-13 12:47:52] - Jason Garrison was added to CANADA.
61,[2014-01-13 12:48:10] - Joe Thornton was added to CANADA.
62,[2014-01-13 12:48:22] - Jonathan Toews was added to CANADA.
63,[2014-01-13 12:48:32] - Eric Staal was added to CANADA.
64,[2014-01-13 12:49:01] - Roberto Luongo was added to CANADA.
65,[2014-01-13 12:49:14] - Ryan Getzlaf was added to CANADA.
66,[2014-01-13 12:49:26] - Patrice Bergeron was added to CANADA.
67,[2014-01-13 12:49:29] - Patrick Marleau was added to CANADA.
68,[2014-01-13 12:49:34] - P.K. Subban was added to CANADA.
69,[2014-01-13 12:49:51] - Patrick Sharp was added to CANADA.
70,[2014-01-13 12:50:03] - Jamie Benn was added to CANADA.
71,[2014-01-13 12:50:29] - Duncan Keith was added to CANADA.
72,[2014-01-13 12:50:35] - Drew Doughty was added to CANADA.
73,[2014-01-13 12:50:46] - Alex Pietrangelo was added to CANADA.
74,[2014-01-13 12:50:54] - Marc-Edouard Vlasic was added to CANADA.
75,[2014-01-13 12:51:17] - Brent Burns was added to CANADA.
76,[2014-01-13 12:51:45] - CANADA roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

77,[2014-01-13 19:25:53] - SUÈDE roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

78,[2014-01-14 11:50:03] - Alexander Delnov average salary was modify from 0 $ to 900 000 $.
79,[2014-01-14 11:50:03] - Lukas Sutter average salary was modify from 0 $ to 900 000 $.
80,[2014-01-14 11:50:03] - Stephane Veilleux average salary was modify from 0 $ to 900 000 $.
81,[2014-01-14 11:50:03] - Steven Zalewski average salary was modify from 0 $ to 900 000 $.
82,[2014-01-14 11:50:03] - Zach Hall average salary was modify from 0 $ to 900 000 $.
83,[2014-01-14 11:50:03] - Seth Jones average salary was modify from 0 $ to 900 000 $.
84,[2014-01-14 11:50:03] - Brody Sutter average salary was modify from 0 $ to 750 000 $.
85,[2014-01-14 11:50:03] - Oskar Osala average salary was modify from 0 $ to 800 000 $.
86,[2014-01-14 11:50:03] - Riley Nash average salary was modify from 0 $ to 900 000 $.
87,[2014-01-14 11:50:03] - Brett Bellemore average salary was modify from 0 $ to 750 000 $.
88,[2014-01-14 11:50:03] - Marcel Hossa average salary was modify from 0 $ to 830 000 $.
89,[2014-01-14 11:50:03] - Tyler Cuma average salary was modify from 0 $ to 850 000 $.
90,[2014-01-14 11:50:03] - Daniil Zharkov average salary was modify from 0 $ to 750 000 $.
91,[2014-01-14 11:50:03] - Jonathan Drouin average salary was modify from 0 $ to 900 000 $.
92,[2014-01-14 11:50:03] - Brett Bulmer average salary was modify from 0 $ to 700 000 $.
93,[2014-01-14 11:50:03] - Erik Haula average salary was modify from 0 $ to 700 000 $.
94,[2014-01-14 11:50:03] - Danick Paquette average salary was modify from 0 $ to 700 000 $.
95,[2014-01-14 11:50:03] - Michael Forney average salary was modify from 0 $ to 750 000 $.
96,[2014-01-14 11:50:03] - Nicolas Kerdiles average salary was modify from 0 $ to 800 000 $.
97,[2014-01-14 11:50:03] - Peter Stoykewych average salary was modify from 0 $ to 750 000 $.
98,[2014-01-14 11:50:03] - Will O'Neill average salary was modify from 0 $ to 750 000 $.
99,[2014-01-14 11:50:03] - Sebastian Owuya average salary was modify from 0 $ to 600 000 $.
100,[2014-01-14 11:50:03] - Craig Smith average salary was modify from 0 $ to 900 000 $.
101,[2014-01-14 11:50:03] - William Karlsson average salary was modify from 0 $ to 750 000 $.
102,[2014-01-14 11:50:03] - Stephen MacAulay average salary was modify from 0 $ to 700 000 $.
103,[2014-01-14 11:50:03] - Carter Bancks average salary was modify from 0 $ to 650 000 $.
104,[2014-01-14 11:50:03] - Will Weber average salary was modify from 0 $ to 700 000 $.
105,[2014-01-14 11:50:03] - Samuel Morin average salary was modify from 0 $ to 900 000 $.
106,[2014-01-14 11:50:03] - Mike Reilly average salary was modify from 0 $ to 900 000 $.
107,[2014-01-14 11:50:03] - Dmitri Kosmachev average salary was modify from 0 $ to 700 000 $.
108,[2014-01-14 11:50:03] - Rasmus Ristolainen average salary was modify from 0 $ to 900 000 $.
109,[2014-01-14 11:50:03] - Nikita Kucherov average salary was modify from 0 $ to 900 000 $.
110,[2014-01-14 11:50:03] - Martins Karsums average salary was modify from 0 $ to 625 000 $.
111,[2014-01-14 11:50:03] - Mike Angelidis average salary was modify from 0 $ to 700 000 $.
112,[2014-01-14 11:50:03] - Trevor Smith average salary was modify from 0 $ to 700 000 $.
113,[2014-01-14 11:50:03] - Alexei Glukhov average salary was modify from 0 $ to 600 000 $.
114,[2014-01-14 11:50:03] - Nathan Beaulieu average salary was modify from 0 $ to 900 000 $.
115,[2014-01-14 11:50:03] - Michael Chaput average salary was modify from 0 $ to 850 000 $.
116,[2014-01-14 11:50:03] - Frederik Andersen average salary was modify from 0 $ to 750 000 $.
117,[2014-01-14 11:50:03] - Josh Harding average salary was modify from 0 $ to 900 000 $.
118,[2014-01-14 11:50:03] - Darcy Kuemper average salary was modify from 0 $ to 750 000 $.
119,[2014-01-14 11:50:03] - Jason Kasdorf average salary was modify from 0 $ to 700 000 $.
120,[2014-01-14 11:50:03] - Jake Paterson average salary was modify from 0 $ to 850 000 $.
121,[2014-01-14 11:50:05] - 1616 Players were imported correctly!
122,[2014-01-14 11:50:05] - Update Stats Function for Players has been run.
123,[2014-01-14 11:50:06] - 0 Referees were imported correctly!
124,[2014-01-14 11:50:06] - Update Stats Function for Referees and Linesman has been run.
125,[2014-01-14 11:50:12] - SUÈDE roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

126,[2014-01-14 11:51:12] - Daniel Sedin was added to SUÈDE.
127,[2014-01-14 11:51:31] - Henrik Sedin was added to SUÈDE.
128,[2014-01-14 11:51:34] - Henrik Lundqvist was added to SUÈDE.
129,[2014-01-14 11:51:39] - Henrik Zetterberg was added to SUÈDE.
130,[2014-01-14 11:51:51] - Loui Eriksson was added to SUÈDE.
131,[2014-01-14 11:52:13] - Nicklas Backstrom was added to SUÈDE.
132,[2014-01-14 11:52:35] - Niklas Kronwall was added to SUÈDE.
133,[2014-01-14 11:52:38] - Niklas Hjalmarsson was added to SUÈDE.
134,[2014-01-14 11:52:49] - Patric Hornqvist was added to SUÈDE.
135,[2014-01-14 11:52:59] - Gabriel Landeskog was added to SUÈDE.
136,[2014-01-14 11:53:14] - Marcus Johansson was added to SUÈDE.
137,[2014-01-14 11:53:38] - Johan Franzen was added to SUÈDE.
138,[2014-01-14 11:54:04] - Jakob Silfverberg was added to SUÈDE.
139,[2014-01-14 11:54:21] - Patrik Berglund was added to SUÈDE.
140,[2014-01-14 11:54:25] - Linus Omark was added to SUÈDE.
141,[2014-01-14 11:54:34] - Carl Hagelin was added to SUÈDE.
142,[2014-01-14 11:54:49] - Alexander Edler was added to SUÈDE.
143,[2014-01-14 11:54:54] - Alexander Steen was added to SUÈDE.
144,[2014-01-14 11:55:05] - Erik Karlsson was added to SUÈDE.
145,[2014-01-14 11:55:11] - Victor Hedman was added to SUÈDE.
146,[2014-01-14 11:55:18] - Oliver Ekman-Larsson was added to SUÈDE.
147,[2014-01-14 11:55:46] - Jonathan Ericsson was added to SUÈDE.
148,[2014-01-14 11:56:02] - Tobias Enstrom was added to SUÈDE.
149,[2014-01-14 11:56:06] - Viktor Fasth was added to SUÈDE.
150,[2014-01-14 11:56:18] - Anders Lindback was added to SUÈDE.
151,[2014-01-14 11:56:27] - CANADA roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

152,[2014-01-14 11:56:33] - DANEMARK roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

153,[2014-01-14 11:58:30] - Martins Karsums was added to LETTONIE.
154,[2014-01-14 11:58:36] - Kaspars Daugavins was added to LETTONIE.
155,[2014-01-14 11:58:45] - Theodor Blueger was added to LETTONIE.
156,[2014-01-14 11:58:55] - Zemgus Girgensons was added to LETTONIE.
157,[2014-01-14 11:59:34] - Miks Indrasis was added to LETTONIE.
158,[2014-01-14 11:59:53] - Martins Cipulis was added to LETTONIE.
159,[2014-01-14 12:00:01] - Vitalijs Pavlovs was added to LETTONIE.
160,[2014-01-14 12:00:38] - Mikelis Redlihs was added to LETTONIE.
161,[2014-01-14 12:00:50] - Janis Sprukts was added to LETTONIE.
162,[2014-01-14 12:01:10] - Ronalds Kenins was added to LETTONIE.
163,[2014-01-14 12:01:19] - Herbert Vasiljevs was added to LETTONIE.
164,[2014-01-14 12:01:57] - Krisjanis Redlihs was added to LETTONIE.
165,[2014-01-14 12:02:11] - Kristaps Sotnieks was added to LETTONIE.
166,[2014-01-14 12:03:06] - Armands Berzins was added to LETTONIE.
167,[2014-01-14 12:03:17] - Lauris Darzins was added to LETTONIE.
168,[2014-01-14 12:03:36] - Juris Stals was added to LETTONIE.
169,[2014-01-14 12:03:46] - Sandis Ozolinsh was added to LETTONIE.
170,[2014-01-14 12:04:05] - Arturs Kulda was added to LETTONIE.
171,[2014-01-14 12:04:07] - Arvids Rekis was added to LETTONIE.
172,[2014-01-14 12:04:18] - Georgijs Pujacs was added to LETTONIE.
173,[2014-01-14 12:05:39] - Oskars Bartulis was added to LETTONIE.
174,[2014-01-14 12:05:49] - Ralfs Freibergs was added to LETTONIE.
175,[2014-01-14 12:05:54] - Edgars Masalskis was added to LETTONIE.
176,[2014-01-14 12:06:07] - Ervins Mustukovs was added to LETTONIE.
177,[2014-01-14 12:06:16] - Kristers Gudlevskis was added to LETTONIE.
178,[2014-01-14 12:06:20] - LETTONIE roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

179,[2014-01-14 12:09:37] - Tuomo Ruutu was added to FINLANDE.
180,[2014-01-14 12:10:03] - Mikko Koivu was added to FINLANDE.
181,[2014-01-14 12:10:28] - Jussi Jokinen was added to FINLANDE.
182,[2014-01-14 12:10:38] - Aleksander Barkov was added to FINLANDE.
183,[2014-01-14 12:10:43] - Valtteri Filppula was added to FINLANDE.
184,[2014-01-14 12:11:10] - Mikael Granlund was added to FINLANDE.
185,[2014-01-14 12:11:28] - Teemu Selanne (Retired) was added to FINLANDE.
186,[2014-01-14 12:11:35] - Saku Koivu was added to FINLANDE.
187,[2014-01-14 12:11:40] - Lauri Korpikoski was added to FINLANDE.
188,[2014-01-14 12:11:44] - Leo Komarov was added to FINLANDE.
189,[2014-01-14 12:12:03] - Olli Jokinen was added to FINLANDE.
190,[2014-01-14 12:12:35] - Kimmo Timonen was added to FINLANDE.
191,[2014-01-14 12:12:42] - Sami Salo (Retired) was added to FINLANDE.
192,[2014-01-14 12:12:46] - Sami Vatanen was added to FINLANDE.
193,[2014-01-14 12:12:49] - Sami Lepisto was added to FINLANDE.
194,[2014-01-14 12:12:59] - Olli Maatta was added to FINLANDE.
195,[2014-01-14 12:13:30] - Rasmus Ristolainen was added to FINLANDE.
196,[2014-01-14 12:13:40] - Teemu Hartikainen was added to FINLANDE.
197,[2014-01-14 12:14:53] - Tuukka Rask was added to FINLANDE.
198,[2014-01-14 12:14:58] - Kari Lehtonen was added to FINLANDE.
199,[2014-01-14 12:15:16] - Antti Niemi was added to FINLANDE.
200,[2014-01-14 12:45:15] - Jaroslav Halak was added to SLOVAQUIE.
201,[2014-01-14 12:45:17] - Jaroslav Janus was added to SLOVAQUIE.
202,[2014-01-14 12:45:32] - Peter Budaj was added to SLOVAQUIE.
203,[2014-01-14 12:45:47] - Zdeno Chara was added to SLOVAQUIE.
204,[2014-01-14 12:46:02] - Andrej Meszaros was added to SLOVAQUIE.
205,[2014-01-14 12:46:05] - Andrej Sekera was added to SLOVAQUIE.
206,[2014-01-14 12:46:37] - Marian Hossa was added to SLOVAQUIE.
207,[2014-01-14 12:46:42] - Marcel Hossa was added to SLOVAQUIE.
208,[2014-01-14 12:47:00] - Martin Marincin was added to SLOVAQUIE.
209,[2014-01-14 12:47:20] - Martin Gernat was added to SLOVAQUIE.
210,[2014-01-14 12:47:31] - Marko Dano was added to SLOVAQUIE.
211,[2014-01-14 12:47:43] - Marek Svatos was added to SLOVAQUIE.
212,[2014-01-14 12:48:30] - Milan Jurcina was added to SLOVAQUIE.
213,[2014-01-14 12:49:50] - Michal Handzus was added to SLOVAQUIE.
214,[2014-01-14 12:50:21] - Tomas Tatar was added to SLOVAQUIE.
215,[2014-01-14 12:50:30] - Marian Gaborik was added to SLOVAQUIE.
216,[2014-01-14 12:53:09] - Richard Panik was added to SLOVAQUIE.
217,[2014-01-14 12:53:20] - Tomas Kopecky was added to SLOVAQUIE.
218,[2014-01-14 12:55:37] - Thomas Greiss was added to ALLEMAGNE.
219,[2014-01-14 12:55:59] - Philip Gogulla was added to ALLEMAGNE.
220,[2014-01-14 12:56:51] - Konrad Abeltshauser was added to ALLEMAGNE.
221,[2014-01-14 12:56:53] - Korbinian Holzer was added to ALLEMAGNE.
222,[2014-01-14 12:57:06] - Christian Ehrhoff was added to ALLEMAGNE.
223,[2014-01-14 12:57:18] - Alexander Sulzer was added to ALLEMAGNE.
224,[2014-01-14 12:58:40] - Dennis Seidenberg was added to ALLEMAGNE.
225,[2014-01-14 13:00:09] - Marcel Goc was added to ALLEMAGNE.
226,[2014-01-14 13:00:11] - Marcel Mueller was added to ALLEMAGNE.
227,[2014-01-14 13:00:18] - Marco Sturm was added to ALLEMAGNE.
228,[2014-01-14 13:00:28] - Dany Heatley was added to ALLEMAGNE.
229,[2014-01-14 13:00:42] - Jochen Hecht was added to ALLEMAGNE.
230,[2014-01-14 13:02:44] - Rep.Tchèque roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

231,[2014-01-14 13:03:17] - Milan Michalek was added to Rep.Tchèque.
232,[2014-01-14 13:03:32] - Michal Rozsival was added to Rep.Tchèque.
233,[2014-01-14 13:03:52] - Martin Havlat was added to Rep.Tchèque.
234,[2014-01-14 13:03:55] - Martin Hanzal was added to Rep.Tchèque.
235,[2014-01-14 13:04:22] - Michal Neuvirth was added to Rep.Tchèque.
236,[2014-01-14 13:04:38] - David Krejci was added to Rep.Tchèque.
237,[2014-01-14 13:04:54] - Ales Hemsky was added to Rep.Tchèque.
238,[2014-01-14 13:05:44] - Tomas Fleischmann was added to Rep.Tchèque.
239,[2014-01-14 13:05:50] - Tomas Plekanec was added to Rep.Tchèque.
240,[2014-01-14 13:06:12] - Jakub Voracek was added to Rep.Tchèque.
241,[2014-01-14 13:06:23] - Jan Hejda was added to Rep.Tchèque.
242,[2014-01-14 13:06:27] - Jaromir Jagr was added to Rep.Tchèque.
243,[2014-01-14 13:06:49] - Jiri Hudler was added to Rep.Tchèque.
244,[2014-01-14 13:07:08] - Vaclav Prospal was added to Rep.Tchèque.
245,[2014-01-14 13:07:17] - Vladimir Sobotka was added to Rep.Tchèque.
246,[2014-01-14 13:07:38] - Roman Polak was added to Rep.Tchèque.
247,[2014-01-14 13:07:44] - Rostislav Klesla was added to Rep.Tchèque.
248,[2014-01-14 13:07:51] - Roman Hamrlik was added to Rep.Tchèque.
249,[2014-01-14 13:08:02] - Zbynek Michalek was added to Rep.Tchèque.
250,[2014-01-14 13:08:15] - Andrej Sustr was added to Rep.Tchèque.
251,[2014-01-14 13:08:26] - Ondrej Pavelec was added to Rep.Tchèque.
252,[2014-01-14 13:08:40] - Tomas Vokoun was added to Rep.Tchèque.
253,[2014-01-14 13:11:24] - Jonas Hiller was added to SUISSE.
254,[2014-01-14 13:11:32] - Reto Berra was added to SUISSE.
255,[2014-01-14 13:11:41] - Benjamin Conz was added to SUISSE.
256,[2014-01-14 13:11:55] - Raphael Diaz was added to SUISSE.
257,[2014-01-14 13:12:08] - Roman Josi was added to SUISSE.
258,[2014-01-14 13:12:19] - Mark Streit was added to SUISSE.
259,[2014-01-14 13:12:41] - Mirco Mueller was added to SUISSE.
260,[2014-01-14 13:12:49] - Yannick Weber was added to SUISSE.
261,[2014-01-14 13:13:31] - Damien Brunner was added to SUISSE.
262,[2014-01-14 13:13:46] - Sven Andrighetto was added to SUISSE.
263,[2014-01-14 13:13:48] - Sven Baertschi was added to SUISSE.
264,[2014-01-14 13:16:01] - Nino Niederreiter was added to SUISSE.
265,[2014-01-14 13:17:48] - Mikkel Boedker was added to DANEMARK.
266,[2014-01-14 13:17:52] - Lars Eller was added to DANEMARK.
267,[2014-01-14 13:18:01] - Jannik Hansen was added to DANEMARK.
268,[2014-01-14 13:18:30] - Frans Nielsen was added to DANEMARK.
269,[2014-01-14 13:18:41] - Peter Regin was added to DANEMARK.
270,[2014-01-14 13:19:38] - Frederik Andersen was added to DANEMARK.
271,[2014-01-14 13:26:52] - Martin Erat was added to Rep.Tchèque.
272,[2014-01-14 13:27:04] - Michael Frolik was added to Rep.Tchèque.
273,[2014-01-14 13:27:22] - Michael Grabner was added to AUTRICHE.
274,[2014-01-14 13:27:34] - Thomas Vanek was added to AUTRICHE.
275,[2014-01-14 15:51:40] - Mike Babcock  was created.
276,[2014-01-14 15:51:48] - CANADA hired Mike Babcock  for 500 000 $ for 3 year(s).
277,[2014-01-14 15:52:58] - Olegs Znaroks was created.
278,[2014-01-14 15:53:07] - LETTONIE hired Olegs Znaroks for 500 000 $ for 3 year(s).
279,[2014-01-14 15:55:43] - Pars Marts was created.
280,[2014-01-14 15:55:54] - SUÈDE hired Pars Marts for 500 000 $ for 3 year(s).
281,[2014-01-14 15:56:49] - Peter Salmik was created.
282,[2014-01-14 15:56:57] - SLOVAQUIE hired Peter Salmik for 500 000 $ for 2 year(s).
283,[2014-01-14 15:57:56] - Sean Simpson was created.
284,[2014-01-14 15:58:07] - SUISSE hired Sean Simpson for 500 000 $ for 3 year(s).
285,[2014-01-14 15:59:16] - Per Bächman was created.
286,[2014-01-14 15:59:28] - DANEMARK hired Per Bächman for 500 000 $ for 3 year(s).
287,[2014-01-14 16:00:51] - Ralph Krueger was created.
288,[2014-01-14 16:01:02] - ALLEMAGNE hired Ralph Krueger for 500 000 $ for 3 year(s).
289,[2014-01-14 16:09:20] - Show Overall Option Deactivated
290,[2014-01-14 16:14:23] - Michael Raffl was added to AUTRICHE.
291,[2014-01-14 16:19:11] - Stephane Da Costa was added to FRANCE.
292,[2014-01-14 16:19:28] - Antoine Roussel was added to FRANCE.
293,[2014-01-14 16:19:49] - Max Sauve was added to FRANCE.
294,[2014-01-14 16:38:54] - Martin Rucinsky was created.
295,[2014-01-14 16:39:05] - Rep.Tchèque hired Martin Rucinsky for 500 000 $ for 3 year(s).
296,[2014-01-14 16:55:35] - Dmitri Kulikov was added to RUSSIE.
297,[2014-01-14 16:56:03] - RUSSIE roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

298,[2014-01-14 16:57:01] - Anton Volchenkov was added to RUSSIE.
299,[2014-01-14 16:57:15] - Nikita Nikitin was added to RUSSIE.
300,[2014-01-14 16:57:28] - CANADA roster errors : Not enough Centers available in Pro Team! 0 Dressed. 3 Required.
Not enough Left Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Right Wings available in Pro Team! 0 Dressed. 3 Required.
Not enough Forward available in Pro Team! 0 Dressed. 6 Required.
Not enough Defenseman available in Pro Team! 0 Dressed. 6 Required.
Not enough Goalie available in Pro Team! 0 Dressed. 2 Required.
Not enough Players available in Pro Team! 0 Dressed. 18 Required.
Some errors will be automatically fixed.

301,[2014-01-14 16:57:33] - Jason Garrison of CANADA was sent to farm.
302,[2014-01-14 16:57:33] - P.K. Subban of CANADA was sent to farm.
303,[2014-01-14 16:57:33] - Patrick Marleau of CANADA was sent to farm.
304,[2014-01-14 16:57:33] - Eric Staal of CANADA was sent to farm.
305,[2014-01-14 16:57:33] - Mike Smith of CANADA was sent to farm.
306,[2014-01-14 16:57:33] - Auto Roster Function has been run for CANADA.
307,[2014-01-14 16:57:41] - Auto Lines Function has been run for CANADA.
308,[2014-01-14 16:58:14] - Eric Staal of CANADA was sent to pro.
309,[2014-01-14 16:58:14] - Joe Thornton of CANADA was sent to farm.
310,[2014-01-14 16:58:14] - Auto Roster Function has been run for CANADA.
311,[2014-01-14 16:58:23] - Auto Roster Function has been run for CANADA.
312,[2014-01-14 20:29:23] - Jarri Kurri was created.
313,[2014-01-14 20:29:32] - FINLANDE hired Jarri Kurri for 500 000 $ for 3 year(s).
314,[2014-01-15 13:00:01] - 1637 Players were imported correctly!
315,[2014-01-15 13:00:01] - Update Stats Function for Players has been run.
316,[2014-01-15 13:12:07] - Matthias Iberer was added to AUTRICHE.
317,[2014-01-15 13:12:23] - Andrea Kristler was added to AUTRICHE.
